,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
53,UGC1256,F-B,False,ISM,"Halpha, HI",,F-B works,113.7,6.3,6.3,107.4,120.0,12.6,NGC 0672,210.43658952599145,217.35
54,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,10.5,1.5,1.5,9.0,12.0,3.0,NGC 0674,,134.0
55,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,26.3,5.1,5.1,21.200000000000003,31.4,10.2,NGC 0674,,134.0
56,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,48.2,1.5,1.5,46.7,49.7,3.0,NGC 0674,,134.0
57,UGC1317,F-B,False,ISM,"Halpha, HI",,F-B works,66.1,2.3,2.3,63.8,68.39999999999999,4.6,NGC 0674,,134.0
58,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,4.1,1.9,1.9,2.2,6.0,3.8,NGC 0753,41.411527938086536,75.35
59,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,31.3,3.8,3.8,27.5,35.1,7.6,NGC 0753,41.411527938086536,75.35
60,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,44.2,3.5,3.5,40.7,47.7,7.0,NGC 0753,41.411527938086536,75.35
61,UGC1437,F-B,False,ISM,"Halpha, HI",,F-B works,57.2,2.7,2.7,54.5,59.900000000000006,5.4,NGC 0753,41.411527938086536,75.35
62,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,5.8,2.2,2.2,3.6,8.0,4.4,NGC 0864,111.71751187637057,140.3
63,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,29.7,3.6,3.6,26.1,33.3,7.2,NGC 0864,111.71751187637057,140.3
64,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,56.1,2.1,2.1,54.0,58.2,4.2,NGC 0864,111.71751187637057,140.3
65,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,84.4,2.3,2.3,82.10000000000001,86.7,4.6,NGC 0864,111.71751187637057,140.3
66,UGC1736,F-B,False,ISM,"Halpha, HI",,F-B works,102.1,2.1,2.1,100.0,104.2,4.2,NGC 0864,111.71751187637057,140.3
67,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,36.1,1.4,1.4,34.7,37.5,2.8,NGC 0925,321.4557915712818,314.15
68,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,47.6,1.3,1.3,46.3,48.9,2.6,NGC 0925,321.4557915712818,314.15
69,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,96.0,1.4,1.4,94.6,97.4,2.8,NGC 0925,321.4557915712818,314.15
70,UGC1913,F-B,False,ISM,"Halpha, HI",,F-B works,118.5,3.8,3.8,114.7,122.3,7.6,NGC 0925,321.4557915712818,314.15
71,UGC2080,F-B,False,ISM,"Halpha, HI",,F-B works,32.1,1.3,1.3,30.8,33.4,2.6,IC 0239,127.38586918389385,137.15
72,UGC2080,F-B,False,ISM,"Halpha, HI",,F-B works,74.8,3.4,3.4,71.39999999999999,78.2,6.8,IC 0239,127.38586918389385,137.15
73,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,13.5,1.8,1.8,11.7,15.3,3.6,NGC 1012,63.113353192994246,75.35
74,UGC2141,F-B,False,ISM,"Halpha, HI",,F-B works,38.3,1.9,1.9,36.4,40.2,3.8,NGC 1012,63.113353192994246,75.35
