,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
904,NGC5005,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),51.6,0.0,0.0,51.6,51.6,0.0,NGC 5005,144.5843392875382,172.65
905,NGC5054,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),74.0,0.0,0.0,74.0,74.0,0.0,NGC 5054,151.0501826363714,153.85
906,NGC5085,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),7.5,0.0,0.0,7.5,7.5,0.0,NGC 5085,121.93299874956382,101.65
907,NGC5085,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),21.6,0.3,0.3,21.3,21.9,0.6,NGC 5085,121.93299874956382,101.65
908,NGC5085,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),47.2,0.0,0.0,47.2,47.2,0.0,NGC 5085,121.93299874956382,101.65
909,NGC5085,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),97.3,0.0,0.0,97.3,97.3,0.0,NGC 5085,121.93299874956382,101.65
910,NGC5101,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),10.3,3.0,3.0,7.300000000000001,13.3,6.0,NGC 5101,177.06032405155324,161.1
911,NGC5101,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),54.3,0.0,0.0,54.3,54.3,0.0,NGC 5101,177.06032405155324,161.1
912,NGC5101,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),93.5,0.0,0.0,93.5,93.5,0.0,NGC 5101,177.06032405155324,161.1
913,NGC5121,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),37.1,0.0,0.0,37.1,37.1,0.0,NGC 5121,64.88155571181059,58.5
914,NGC5247,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),14.0,1.0,1.0,13.0,15.0,2.0,NGC 5247,159.63247778003824,168.7
915,NGC5247,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),87.2,0.0,0.0,87.2,87.2,0.0,NGC 5247,159.63247778003824,168.7
916,NGC5248,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),12.5,0.0,0.0,12.5,12.5,0.0,NGC 5248,122.21408334123385,185.0
917,NGC5248,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),69.6,0.0,0.0,69.6,69.6,0.0,NGC 5248,122.21408334123385,185.0
918,NGC5334,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),6.0,0.0,0.0,6.0,6.0,0.0,NGC 5334,102.12245691030029,125.05
919,NGC5334,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),42.5,0.0,0.0,42.5,42.5,0.0,NGC 5334,102.12245691030029,125.05
920,NGC5334,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),81.8,0.0,0.0,81.8,81.8,0.0,NGC 5334,102.12245691030029,125.05
921,NGC5427,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),7.3,0.2,0.2,7.1,7.5,0.4,NGC 5427,108.1735929064927,84.55
922,NGC5427,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),38.0,0.0,0.0,38.0,38.0,0.0,NGC 5427,108.1735929064927,84.55
923,NGC5427,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),63.3,0.0,0.0,63.3,63.3,0.0,NGC 5427,108.1735929064927,84.55
924,NGC5483,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),2.6,0.0,0.0,2.6,2.6,0.0,NGC 5483,102.12245691030029,111.45
925,NGC5483,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),18.0,0.0,0.0,18.0,18.0,0.0,NGC 5483,102.12245691030029,111.45
926,NGC5483,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),25.6,0.0,0.0,25.6,25.6,0.0,NGC 5483,102.12245691030029,111.45
927,NGC5483,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),72.7,0.0,0.0,72.7,72.7,0.0,NGC 5483,102.12245691030029,111.45
928,NGC5643,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),23.6,0.0,0.0,23.6,23.6,0.0,NGC 5643,157.44223807493177,137.15
929,NGC5643,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),66.9,0.0,0.0,66.9,66.9,0.0,NGC 5643,157.44223807493177,137.15
930,NGC5643,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),104.7,0.0,0.0,104.7,104.7,0.0,NGC 5643,157.44223807493177,137.15
931,NGC5676,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),23.2,0.0,0.0,23.2,23.2,0.0,NGC 5676,107.67658039350157,119.45
932,NGC5676,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),38.2,0.0,0.0,38.2,38.2,0.0,NGC 5676,107.67658039350157,119.45
933,NGC5676,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),61.2,0.0,0.0,61.2,61.2,0.0,NGC 5676,107.67658039350157,119.45
934,NGC5701,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),15.4,0.0,0.0,15.4,15.4,0.0,NGC 5701,59.85786944906639,127.95
935,NGC5701,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),52.5,0.0,0.0,52.5,52.5,0.0,NGC 5701,59.85786944906639,127.95
936,NGC5701,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),86.9,0.0,0.0,86.9,86.9,0.0,NGC 5701,59.85786944906639,127.95
937,NGC5713,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),5.0,0.0,0.0,5.0,5.0,0.0,NGC 5713,74.1517243504839,82.65
938,NGC5713,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),29.3,0.0,0.0,29.3,29.3,0.0,NGC 5713,74.1517243504839,82.65
939,NGC5713,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),71.3,0.0,0.0,71.3,71.3,0.0,NGC 5713,74.1517243504839,82.65
940,NGC5850,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),29.9,0.0,0.0,29.9,29.9,0.0,NGC 5850,100.48963174734828,127.95
941,NGC5850,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),80.7,0.0,0.0,80.7,80.7,0.0,NGC 5850,100.48963174734828,127.95
942,NGC5921,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),20.6,0.0,0.0,20.6,20.6,0.0,NGC 5921,90.59855161206048,146.95
943,NGC5921,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),57.8,0.0,0.0,57.8,57.8,0.0,NGC 5921,90.59855161206048,146.95
944,NGC5921,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),137.5,0.0,0.0,137.5,137.5,0.0,NGC 5921,90.59855161206048,146.95
945,NGC5962,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),27.3,0.0,0.0,27.3,27.3,0.0,NGC 5962,75.01036085089292,88.55
946,NGC6215,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),27.3,4.3,4.3,23.0,31.6,8.6,NGC 6215,78.3648406319762,64.15
947,NGC6215,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),57.0,0.0,0.0,57.0,57.0,0.0,NGC 6215,78.3648406319762,64.15
948,NGC6215,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),72.5,0.0,0.0,72.5,72.5,0.0,NGC 6215,78.3648406319762,64.15
949,NGC6221,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),14.5,0.0,0.0,14.5,14.5,0.0,NGC 6221,143.92003459100675,106.45
950,NGC6221,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),41.9,0.0,0.0,41.9,41.9,0.0,NGC 6221,143.92003459100675,106.45
951,NGC6221,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),93.0,0.0,0.0,93.0,93.0,0.0,NGC 6221,143.92003459100675,106.45
952,NGC6300,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),9.4,0.0,0.0,9.4,9.4,0.0,NGC 6300,160.00046864628632,134.0
953,NGC6300,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),39.1,0.0,0.0,39.1,39.1,0.0,NGC 6300,160.00046864628632,134.0
954,NGC6300,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),68.5,0.0,0.0,68.5,68.5,0.0,NGC 6300,160.00046864628632,134.0
955,NGC6300,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),106.4,0.0,0.0,106.4,106.4,0.0,NGC 6300,160.00046864628632,134.0
956,NGC6384,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),20.4,0.0,0.0,20.4,20.4,0.0,NGC 6384,73.64126747055089,185.0
957,NGC6384,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),68.7,0.0,0.0,68.7,68.7,0.0,NGC 6384,73.64126747055089,185.0
958,NGC6384,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),131.7,0.0,0.0,131.7,131.7,0.0,NGC 6384,73.64126747055089,185.0
959,NGC6753,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),10.9,0.0,0.0,10.9,10.9,0.0,NGC 6753,88.94494168573027,73.65
960,NGC6753,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),19.4,0.0,0.0,19.4,19.4,0.0,NGC 6753,88.94494168573027,73.65
961,NGC6753,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),37.3,0.0,0.0,37.3,37.3,0.0,NGC 6753,88.94494168573027,73.65
962,NGC6753,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),58.9,0.0,0.0,58.9,58.9,0.0,NGC 6753,88.94494168573027,73.65
963,NGC6782,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),12.2,0.0,0.0,12.2,12.2,0.0,NGC 6782,72.63087140208532,65.65
964,NGC6782,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),27.6,0.0,0.0,27.6,27.6,0.0,NGC 6782,72.63087140208532,65.65
965,NGC6902,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),22.0,0.0,0.0,22.0,22.0,0.0,NGC 6902,80.74604411780747,168.7
966,NGC6902,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),92.1,1.5,1.5,90.6,93.6,3.0,NGC 6902,80.74604411780747,168.7
967,NGC6907,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),5.7,0.1,0.1,5.6000000000000005,5.8,0.2,NGC 6907,99.1108623110444,99.35
968,NGC6907,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),37.5,2.3,2.3,35.2,39.8,4.6,NGC 6907,99.1108623110444,99.35
969,NGC7083,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),3.7,0.0,0.0,3.7,3.7,0.0,NGC 7083,107.18185144557864,116.7
970,NGC7083,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),18.1,0.0,0.0,18.1,18.1,0.0,NGC 7083,107.18185144557864,116.7
971,NGC7083,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),49.7,0.0,0.0,49.7,49.7,0.0,NGC 7083,107.18185144557864,116.7
972,NGC7205,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),74.1,0.0,0.0,74.1,74.1,0.0,NGC 7205,110.94845393407986,122.2
973,NGC7213,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),22.0,0.0,0.0,22.0,22.0,0.0,NGC 7213,142.27259557807338,92.7
974,NGC7213,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),64.9,3.0,3.0,61.900000000000006,67.9,6.0,NGC 7213,142.27259557807338,92.7
975,NGC7217,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),14.5,1.6,1.6,12.9,16.1,3.2,NGC 7217,135.5567833124767,116.7
976,NGC7217,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),43.1,0.0,0.0,43.1,43.1,0.0,NGC 7217,135.5567833124767,116.7
977,NGC7412,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),13.9,0.0,0.0,13.9,13.9,0.0,NGC 7412,113.01113969517267,116.7
978,NGC7412,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),52.7,0.0,0.0,52.7,52.7,0.0,NGC 7412,113.01113969517267,116.7
979,NGC7412,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),71.0,0.0,0.0,71.0,71.0,0.0,NGC 7412,113.01113969517267,116.7
980,NGC7418,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),4.0,0.0,0.0,4.0,4.0,0.0,NGC 7418,109.93127239435,106.45
981,NGC7418,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),38.1,1.8,1.8,36.3,39.9,3.6,NGC 7418,109.93127239435,106.45
982,NGC7418,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),81.3,2.0,2.0,79.3,83.3,4.0,NGC 7418,109.93127239435,106.45
983,NGC7479,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),6.3,0.0,0.0,6.3,6.3,0.0,NGC 7479,109.42618407768236,122.2
984,NGC7479,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),57.7,0.0,0.0,57.7,57.7,0.0,NGC 7479,109.42618407768236,122.2
985,NGC7552,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),4.7,0.0,0.0,4.7,4.7,0.0,NGC 7552,115.37753461360606,101.65
986,NGC7552,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),15.6,0.0,0.0,15.6,15.6,0.0,NGC 7552,115.37753461360606,101.65
987,NGC7552,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),59.0,0.0,0.0,59.0,59.0,0.0,NGC 7552,115.37753461360606,101.65
988,NGC7582,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),43.6,0.0,0.0,43.6,43.6,0.0,NGC 7582,208.50729527663907,150.35
989,NGC7582,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),74.3,0.0,0.0,74.3,74.3,0.0,NGC 7582,208.50729527663907,150.35
990,NGC7713,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),55.7,0.0,0.0,55.7,55.7,0.0,NGC 7713,147.27236284578095,134.0
991,NGC7713,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),67.9,0.0,0.0,67.9,67.9,0.0,NGC 7713,147.27236284578095,134.0
992,NGC7723,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),9.3,0.0,0.0,9.3,9.3,0.0,NGC 7723,93.99857172946756,104.0
993,NGC7723,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),20.7,0.0,0.0,20.7,20.7,0.0,NGC 7723,93.99857172946756,104.0
994,NGC7723,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),40.1,0.0,0.0,40.1,40.1,0.0,NGC 7723,93.99857172946756,104.0
995,NGC7727,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),29.1,0.0,0.0,29.1,29.1,0.0,NGC 7727,108.67289952500956,140.3
996,NGC7727,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),114.5,0.0,0.0,114.5,114.5,0.0,NGC 7727,108.67289952500956,140.3
997,NGC7741,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),51.9,6.8,6.8,45.1,58.7,13.6,NGC 7741,108.92341643103042,130.95
998,IC4444,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),9.7,0.4,0.4,9.3,10.1,0.8,IC 4441,33.97201089706672,52.15
999,IC4444,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),41.4,0.0,0.0,41.4,41.4,0.0,IC 4441,33.97201089706672,52.15
1000,IC5325,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),15.1,0.0,0.0,15.1,15.1,0.0,IC 5325,86.52094509379818,82.65
1001,IC5325,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),25.5,0.0,0.0,25.5,25.5,0.0,IC 5325,86.52094509379818,82.65
1002,IC5325,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),40.4,1.7,1.7,38.7,42.1,3.4,IC 5325,86.52094509379818,82.65
1003,ESO138-10,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),16.8,0.6,0.6,16.2,17.400000000000002,1.2,ESO 138- G 010,165.62323178422722,168.7
1004,ESO138-10,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),79.9,0.0,0.0,79.9,79.9,0.0,ESO 138- G 010,165.62323178422722,168.7
1005,ESO138-10,potential-density,False,stellar,H-band,https://iopscience.iop.org/article/10.1088/0067-0049/182/2/559/pdf,Buta & Zhang (2009),137.4,0.0,0.0,137.4,137.4,0.0,ESO 138- G 010,165.62323178422722,168.7
1006,NGC0289,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),61.0,9.5,9.5,51.5,70.5,19.0,NGC 0289,100.7212842728864,153.85
1007,NGC0578,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),78.9,15.8,15.8,63.10000000000001,94.7,31.6,NGC 0578,144.5843392875382,146.95
1008,NGC0613,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),126.2,14.6,14.6,111.6,140.8,29.2,NGC 0613,161.48093475488653,164.85
1009,NGC1073,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),48.7,4.4,4.4,44.3,53.1,8.8,NGC 1073,106.1992023250304,146.95
1010,NGC1187,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),74.1,16.1,16.1,57.99999999999999,90.2,32.2,NGC 1187,124.7731831482066,164.85
1011,NGC1241,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),41.5,4.0,4.0,37.5,45.5,8.0,NGC 1241,80.93218297334762,84.55
1012,NGC1302,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),50.4,4.6,4.6,45.8,55.0,9.2,NGC 1302,127.67952394012292,116.7
1013,NGC1317,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),54.5,10.4,10.4,44.1,64.9,20.8,NGC 1317,92.07065965173474,82.65
1014,NGC1832,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),32.8,3.1,3.1,29.7,35.9,6.2,NGC 1832,74.1517243504839,77.1
1015,NGC3261,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),44.1,4.4,4.4,39.7,48.5,8.8,NGC 3261,109.67843748393749,111.45
1016,NGC3275,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),44.2,4.6,4.6,39.6,48.8,9.2,NGC 3275,82.62686110014499,84.55
1017,NGC3504,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),44.5,5.6,5.6,38.9,50.1,11.2,NGC 3504,74.32266172899854,80.75
1018,NGC3507,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),34.2,2.6,2.6,31.6,36.8,5.2,NGC 3507,87.52281042003501,101.65
1019,NGC3513,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),43.5,5.4,5.4,38.1,48.9,10.8,NGC 3513,84.5514879379336,84.55
1020,NGC3583,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),32.1,1.8,1.8,30.3,33.9,3.6,NGC 3583,67.1616341570502,84.55
1021,NGC3686,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),35.6,5.1,5.1,30.5,40.7,10.2,NGC 3686,87.12067963393353,97.1
1022,NGC3726,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),83.5,13.9,13.9,69.6,97.4,27.8,NGC 3726,169.48109244369078,185.0
1023,NGC4051,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),98.0,14.0,14.0,84.0,112.0,28.0,NGC 4051,177.06032405155324,157.45
1024,NGC4123,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),69.1,9.4,9.4,59.7,78.5,18.8,NGC 4123,95.30622211949311,130.95
1025,NGC4303,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),89.1,8.5,8.5,80.6,97.6,17.0,MESSIER 061,206.59568890328288,193.7
1026,NGC4314,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),81.7,10.2,10.2,71.5,91.9,20.4,NGC 4314,110.94845393407986,125.05
1027,NGC4394,model,False,stellar,H-band,https://arxiv.org/pdf/0806.0471.pdf,Rautiainen & Laurikainen (2008),76.7,10.0,10.0,66.7,86.7,20.0,NGC 4394,104.74209464357584,108.9
