!! request processed by HyperLeda Wed Nov 24 11:22:14 2021
!! Number of lines in uploaded file: 660
                  name                  |     objname     |      incl       |
UGC 03574                               |  UGC03574       | 21.85           |
UGC 03685                               |  UGC03685       | 55.44           |
UGC 03691                               |  UGC03691       | 61.82           |
UGC 03825                               |  UGC03825       | 23.75           |
UGC 03826                               |  UGC03826       | 29.77           |
UGC 03871                               |  UGC03871       | 54.69           |
UGC 03876                               |  UGC03876       | 61.41           |
UGC 03907                               |  UGC03907       | 58.1            |
UGC 03944                               |  UGC03944       | 72.11           |
UGC 03949                               |  UGC03949       | 24.36           |
UGC 04058                               |  UGC04058       | 45.79           |
UGC 04099                               |  UGC04099       | 41.3            |
UGC 04270                               |  UGC04270       | 56.11           |
UGC 04300                               |  UGC04300       | 36.75           |
UGC 04374                               |  UGC04374       | 38.13           |
UGC 04500                               |  UGC04500       | 41.48           |
UGC 04542                               |  UGC04542       | 33.57           |
UGC 04578                               |  UGC04578       | 52.48           |
UGC 04596                               |  UGC04596       | 68.88           |
UGC 04643                               |  UGC04643       | 36.41           |
UGC 04771                               |  UGC04771       | 54.3            |
UGC 04973                               |  UGC04973       | 19.02           |
UGC 05016                               |  UGC05016       | 64.54           |
UGC 05055                               |  UGC05055       | 22.07           |
