,name,objname,incl,False
235,NGC 2582,NGC2582,18.85,False
236,NGC 2595,NGC2595,48.78,False
237,NGC 2649,NGC2649,20.55,False
238,NGC 2665,NGC2665,32.82,False
239,NGC 2766,NGC2766,69.47,False
240,NGC 2771,NGC2771,32.58,False
241,NGC 2775,NGC2775,40.05,False
242,NGC 2805,NGC2805,36.01,False
243,NGC 2835,NGC2835,56.23,False
244,NGC 2840,NGC2840,33.23,False
245,NGC 2841,NGC2841,65.32,False
246,NGC 2857,NGC2857,37.98,False
247,NGC 2880,NGC2880,68.45,False
248,NGC 2903,NGC2903,67.09,False
249,NGC 2950,NGC2950,61.79,False
250,NGC 2964,NGC2964,42.9,False
251,NGC 2967,NGC2967,20.48,False
252,NGC 2977,NGC2977,63.19,False
253,NGC 2985,NGC2985,37.88,False
254,NGC 2997,NGC2997,53.68,False
255,NGC 3003,NGC3003,87.04,False
256,NGC 3041,NGC3041,51.54,False
257,NGC 3059,NGC3059,21.31,False
258,NGC 3061,NGC3061,39.64,False
259,NGC 3074,NGC3074,31.27,False
260,NGC 3081,NGC3081,59.82,False
261,NGC 3104,NGC3104,53.79,False
262,NGC 3109,NGC3109,90,False
263,NGC 3137,NGC3137,47.23,False
264,NGC 3147,NGC3147,31.23,False
265,NGC 3162,NGC3162,36.71,False
266,NGC 3166,NGC3166,56.17,False
267,NGC 3184,NGC3184,14.37,False
268,NGC 3223,NGC3223,50.94,False
269,NGC 3227,NGC3227,68.34,False
270,NGC 3237,NGC3237,14.85,False
271,NGC 3261,NGC3261,41.24,False
272,NGC 3275,NGC3275,45.63,False
273,NGC 3294,NGC3294,60.68,False
274,NGC 3300,NGC3300,75.44,False
275,NGC 3310,NGC3310,16.1,False
276,NGC 3319,NGC3319,62.67,False
277,NGC 3338,NGC3338,56.44,False
278,NGC 3344,NGC3344,18.72,False
279,NGC 3346,NGC3346,33.91,False
280,NGC 3359,NGC3359,47.16,False
281,NGC 3374,NGC3374,44.9,False
282,NGC 3380,NGC3380,27.71,False
283,NGC 3381,NGC3381,26.26,False
284,NGC 3389,NGC3389,66.16,False
285,NGC 3412,NGC3412,71.85,False
286,NGC 3423,NGC3423,32.12,False
287,NGC 3430,NGC3430,57.98,False
288,NGC 3433,NGC3433,17.75,False
289,NGC 3464,NGC3464,50.76,False
290,NGC 3485,NGC3485,18.11,False
291,NGC 3486,NGC3486,46.05,False
292,NGC 3489,NGC3489,63.68,False
293,NGC 3504,NGC3504,26.38,False
294,NGC 3507,NGC3507,31.88,False
295,NGC 3511,NGC3511,74.5,False
296,NGC 3513,NGC3513,38.97,False
297,NGC 3516,NGC3516,36.93,False
298,NGC 3521,NGC3521,60.03,False
299,NGC 3577,NGC3577,30.72,False
300,NGC 3583,NGC3583,58.69,False
301,NGC 3593,NGC3593,86.88,False
302,NGC 3596,NGC3596,18.71,False
303,NGC 3599,NGC3599,28.32,False
304,NGC 3621,NGC3621,67.55,False
305,NGC 3626,NGC3626,55.78,False
306,NGC 3631,NGC3631,34.67,False
307,NGC 3646,NGC3646,63.86,False
308,NGC 3668,NGC3668,54.42,False
309,NGC 3675,NGC3675,59.52,False
310,NGC 3681,NGC3681,14.83,False
311,NGC 3684,NGC3684,50.69,False
312,NGC 3686,NGC3686,41.7,False
313,NGC 3719,NGC3719,50.36,False
314,NGC 3720,NGC3720,24.29,False
315,NGC 3726,NGC3726,50.47,False
316,NGC 3810,NGC3810,48.22,False
317,NGC 3832,NGC3832,37.22,False
318,NGC 3840,NGC3840,32.79,False
319,NGC 3887,NGC3887,42.94,False
320,NGC 3893,NGC3893,59.88,False
321,NGC 3897,NGC3897,41.96,False
322,NGC 3938,NGC3938,17.65,False
323,NGC 3949,NGC3949,56.03,False
324,NGC 3963,NGC3963,28.94,False
325,NGC 3994,NGC3994,59.51,False
326,NGC 4027,NGC4027,42.34,False
327,NGC 4030,NGC4030,46.99,False
328,NGC 4045,NGC4045,55.88,False
329,NGC 4051,NGC4051,48.69,False
330,NGC 4062,NGC4062,70.02,False
331,NGC 4079,NGC4079,48.91,False
332,NGC 4113,NGC4122,59.66,False
333,NGC 4123,NGC4123,44.26,False
334,NGC 4136,NGC4136,22.02,False
335,NGC 4145,NGC4145,64.31,False
336,NGC 4146,NGC4146,26.4,False
337,NGC 4151,NGC4151,42,False
338,NGC 4156,NGC4156,32.16,False
339,NGC 4207,NGC4207,70.51,False
340,NGC 4236,NGC4236,90,False
341,NGC 4242,NGC4242,51.47,False
342,NGC 4245,NGC4245,56.14,False
343,NGC 4246,NGC4246,61.51,False
344,NGC 4264,NGC4264,43.09,False
345,NGC 4293,NGC4293,59.33,False
346,NGC 4294,NGC4294,70.17,False
347,NGC 4298,NGC4298,58.4,False
348,NGC 4314,NGC4314,16.22,False
349,NGC 4394,NGC4394,17.6,False
350,NGC 4414,NGC4414,56.58,False
351,NGC 4424,NGC4424,64.5,False
352,NGC 4431,NGC4431,69.04,False
353,NGC 4450,NGC4450,48.76,False
354,NGC 4457,NGC4457,34.65,False
355,NGC 4459,NGC4459,46.95,False
356,NGC 4476,NGC4476,60.14,False
357,NGC 4477,NGC4477,33.51,False
358,NGC 4487,NGC4487,58.18,False
359,NGC 4496,NGC4496,,False
360,NGC 4496A,NGC4496A,38.5,False
361,NGC 4504,NGC4504,52.91,False
362,NGC 4514,NGC4514,37.38,False
363,NGC 4519,NGC4519,41.1,False
364,NGC 4527,NGC4527,81.24,False
365,NGC 4535,NGC4535,23.8,False
366,NGC 4536,NGC4536,73.09,False
367,NGC 4540,NGC4540,34.2,False
368,NGC 4559,NGC4559,64.76,False
369,NGC 4571,NGC4571,22.13,False
370,NGC 4580,NGC4580,50.29,False
371,NGC 4593,NGC4593,34.03,False
372,NGC 4596,NGC4596,36.56,False
373,NGC 4605,NGC4605,70.1,False
374,NGC 4608,NGC4608,34.62,False
375,NGC 4618,NGC4618,57.57,False
376,NGC 4625,NGC4625,46.12,False
377,NGC 4631,NGC4631,90,False
378,NGC 4635,NGC4635,44.64,False
379,NGC 4643,NGC4643,42.86,False
380,NGC 4647,NGC4647,31.58,False
381,NGC 4651,NGC4651,49.49,False
382,NGC 4654,NGC4654,59.78,False
383,NGC 4665,NGC4624,0,False
384,NGC 4689,NGC4689,42.54,False
385,NGC 4691,NGC4691,38.45,False
386,NGC 4694,NGC4694,70.04,False
387,NGC 4699,NGC4699,42.08,False
388,NGC 4713,NGC4713,23.78,False
389,NGC 4731,NGC4731,73.13,False
390,NGC 4772,NGC4772,67.32,False
391,NGC 4775,NGC4775,28.44,False
392,NGC 4781,NGC4781,67.7,False
393,NGC 4868,NGC4868,26.29,False
394,NGC 4900,NGC4900,18.98,False
395,NGC 4902,NGC4902,26.75,False
396,NGC 4930,NGC4930,37.83,False
397,NGC 4932,NGC4932,42.1,False
398,NGC 4935,NGC4935,34.34,False
399,NGC 4939,NGC4939,70.07,False
400,NGC 4941,NGC4941,36.6,False
401,NGC 4951,NGC4951,70.52,False
402,NGC 4995,NGC4995,54.28,False
403,NGC 5005,NGC5005,77.06,False
404,NGC 5008,IC4381,39.97,False
405,NGC 5033,NGC5033,64.6,False
406,NGC 5042,NGC5042,60.25,False
407,NGC 5054,NGC5054,56.93,False
408,NGC 5068,NGC5068,27.27,False
409,NGC 5085,NGC5085,37.63,False
410,NGC 5101,NGC5101,22.19,False
411,NGC 5112,NGC5112,53.57,False
412,NGC 5121,NGC5121,42.13,False
413,NGC 5128,NGC5128,45.33,False
414,NGC 5132,NGC5132,54.68,False
415,NGC 5134,NGC5134,58.33,False
416,NGC 5154,NGC5154,21.1,False
417,NGC 5158,NGC5158,17.97,False
418,NGC 5204,NGC5204,58.83,False
419,NGC 5205,NGC5205,56.05,False
420,NGC 5211,NGC5211,41.6,False
421,NGC 5230,NGC5230,17.97,False
422,NGC 5239,NGC5239,14.23,False
423,NGC 5247,NGC5247,38.47,False
424,NGC 5248,NGC5248,56.38,False
425,NGC 5297,NGC5297,82.23,False
426,NGC 5305,NGC5305,48.02,False
427,NGC 5334,NGC5334,44.72,False
428,NGC 5335,NGC5335,24.73,False
429,NGC 5364,NGC5364,67.51,False
430,NGC 5370,NGC5370,22.22,False
431,NGC 5371,NGC5371,53.97,False
432,NGC 5376,NGC5376,54.75,False
433,NGC 5378,NGC5378,41.99,False
434,NGC 5383,NGC5383,42.28,False
435,NGC 5406,NGC5406,45.52,False
